"","age","job_admin.","job_blue-collar","job_entrepreneur","job_housemaid","job_management","job_retired","job_self-employed","job_services","job_student","job_technician","job_unemployed","job_unknown","marital_divorced","marital_married","marital_single","marital_unknown","education_Basic","education_high.school","education_illiterate","education_professional.course","education_university.degree","education_unknown","default_no","default_unknown","default_yes","housing_no","housing_unknown","housing_yes","loan_no","loan_unknown","loan_yes","contact_cellular","contact_telephone","month_apr","month_aug","month_dec","month_jul","month_jun","month_mar","month_may","month_nov","month_oct","month_sep","day_of_week_fri","day_of_week_mon","day_of_week_thu","day_of_week_tue","day_of_week_wed","duration","campaign","pdays","previous","poutcome_failure","poutcome_nonexistent","poutcome_success","emp_var_rate","cons_price_idx","cons_conf_idx","euribor3m","nr_employed","y","logit_Predictions"
"8",39,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,191,1,999,0,0,1,0,-1.8,92.893,-46.2,1.313,5099.1,0,0
"9",36,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,174,1,3,1,0,0,1,-2.9,92.963,-40.8,1.266,5076.2,1,1
"11",34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,62,2,999,0,0,1,0,1.1,93.994,-36.4,4.864,5191,0,0
"16",52,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,117,2,999,0,0,1,0,1.4,93.918,-42.7,4.962,5228.1,0,0
"18",27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,540,1,999,0,0,1,0,-0.1,93.798,-40.4,4.86,5195.8,1,0
"21",41,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,246,1,999,1,1,0,0,-1.8,93.075,-47.1,1.405,5099.1,0,0
"28",37,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,226,1,2,1,0,0,1,-1.8,93.075,-47.1,1.365,5099.1,0,0
"32",46,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,227,2,999,0,0,1,0,-1.8,92.893,-46.2,1.327,5099.1,0,0
"35",32,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,68,2,999,0,0,1,0,1.4,93.918,-42.7,4.963,5228.1,0,0
"36",36,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,54,1,999,2,1,0,0,-1.8,92.893,-46.2,1.334,5099.1,0,0
"39",44,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,17,25,999,0,0,1,0,1.4,94.465,-41.8,4.96,5228.1,0,0
"40",54,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,121,11,999,0,0,1,0,1.4,93.444,-36.1,4.962,5228.1,0,0
"42",42,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,24,1,999,0,0,1,0,1.1,93.994,-36.4,4.857,5191,0,0
"44",72,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,244,2,999,0,0,1,0,-3.4,92.649,-30.1,0.715,5017.5,1,0
"46",36,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,371,1,999,0,0,1,0,-0.1,93.2,-42,4.076,5195.8,0,0
"48",43,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,195,3,999,1,1,0,0,-1.8,92.893,-46.2,1.354,5099.1,0,0
"50",42,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,93,2,999,0,0,1,0,1.4,94.465,-41.8,4.959,5228.1,0,0
"53",33,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,164,2,999,1,1,0,0,-1.8,92.893,-46.2,1.354,5099.1,0,0
"54",31,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,91,4,999,0,0,1,0,1.4,94.465,-41.8,4.864,5228.1,0,0
"58",24,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,61,1,999,0,0,1,0,1.1,93.994,-36.4,4.857,5191,0,0
"59",38,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,162,4,999,0,0,1,0,1.1,93.994,-36.4,4.859,5191,0,0
"60",26,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,126,12,999,0,0,1,0,1.4,94.465,-41.8,4.959,5228.1,0,0
"63",30,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,116,1,999,0,0,1,0,-1.8,92.843,-50,1.811,5099.1,1,0
"64",37,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,450,1,999,0,0,1,0,-0.1,93.2,-42,4.021,5195.8,0,0
"66",31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,168,2,999,0,0,1,0,1.4,93.918,-42.7,4.962,5228.1,0,0
"68",33,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,349,4,999,0,0,1,0,1.1,93.994,-36.4,4.857,5191,0,0
"70",44,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,336,3,999,0,0,1,0,1.1,93.994,-36.4,4.857,5191,0,0
"71",28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,169,1,999,0,0,1,0,1.4,94.465,-41.8,4.866,5228.1,0,0
"73",33,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,55,1,999,0,0,1,0,-0.1,93.2,-42,4.076,5195.8,0,0
"75",40,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,77,2,999,0,0,1,0,1.4,93.918,-42.7,4.96,5228.1,0,0
"80",35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,106,1,999,0,0,1,0,1.4,93.918,-42.7,4.968,5228.1,0,0
"86",38,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,173,1,999,0,0,1,0,1.4,93.444,-36.1,4.963,5228.1,0,0
"87",35,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,86,1,999,1,1,0,0,-3.4,92.431,-26.9,0.74,5017.5,0,0
"89",32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,523,3,999,0,0,1,0,1.4,93.918,-42.7,4.962,5228.1,0,0
"94",40,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,160,4,999,0,0,1,0,-1.8,92.893,-46.2,1.327,5099.1,0,0
"97",38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,882,1,6,1,0,0,1,-1.8,93.749,-34.6,0.659,5008.7,1,1
"99",37,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,354,5,999,0,0,1,0,1.1,93.994,-36.4,4.858,5191,0,0
"103",37,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,71,1,999,0,0,1,0,1.1,93.994,-36.4,4.857,5191,0,0
"108",35,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,82,4,999,0,0,1,0,1.4,93.444,-36.1,4.962,5228.1,0,0
"109",48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,606,3,999,0,0,1,0,-1.8,92.893,-46.2,1.334,5099.1,0,0
"116",47,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,267,2,3,3,0,0,1,-1.8,93.876,-40,0.682,5008.7,0,0
"118",24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,744,1,999,2,1,0,0,-1.7,94.027,-38.3,0.905,4991.6,1,1
