"","price","speed","hd","ram","screen","ads","trend","pc_cluster_2$cluster"
"1",1499,25,80,4,14,94,1,8
"2",1795,33,85,2,14,94,1,8
"3",1595,25,170,4,15,94,1,8
"4",1849,25,170,8,14,94,1,8
"5",3295,33,340,16,14,94,1,6
"6",3695,66,340,16,14,94,1,6
"7",1720,25,170,4,14,94,1,8
"8",1995,50,85,2,14,94,1,8
"9",2225,50,210,8,14,94,1,8
"10",2575,50,210,4,15,94,1,6
"11",2195,33,170,8,15,94,1,8
"12",2605,66,210,8,14,94,1,6
"13",2045,50,130,4,14,94,1,8
"14",2295,25,245,8,14,94,1,8
"15",2699,50,212,8,14,94,1,6
"16",2225,50,130,4,14,94,1,8
"17",1595,33,85,2,14,94,1,8
"18",2325,33,210,4,15,94,1,8
"19",2095,33,250,4,15,94,1,8
"20",4395,66,452,8,14,94,1,6
"21",1695,33,130,4,14,94,1,8
"22",2795,66,130,4,14,94,1,6
"23",2895,25,340,16,14,94,1,6
"24",2875,50,210,4,17,94,1,2
"25",4195,50,452,8,14,94,1,6
"26",1290,33,80,2,14,94,1,8
"27",1975,33,130,4,14,94,1,8
"28",3995,33,452,8,14,94,1,6
"29",3095,33,340,16,14,94,1,6
"30",3244,66,245,8,14,94,1,6
"31",1920,33,170,4,14,94,1,8
"32",1995,25,130,4,14,94,1,8
"33",2595,33,210,8,17,94,1,2
"34",2475,50,210,4,15,94,1,8
"35",1999,33,170,4,14,94,1,8
"36",2675,66,210,4,15,94,1,6
"37",2325,66,210,8,14,94,1,6
"38",3795,66,500,8,14,94,1,6
"39",2405,50,210,8,14,94,1,8
"40",2425,50,210,8,14,94,1,8
"41",2895,50,245,8,14,94,1,6
"42",3895,66,500,8,15,94,1,6
"43",2499,33,212,8,14,94,1,8
"44",2255,33,210,8,14,94,1,8
"45",3495,50,340,16,14,94,1,6
"46",2695,33,245,8,14,94,1,6
"47",2195,33,130,4,14,94,1,8
"48",1749,25,120,4,14,94,1,8
"49",2399,50,212,4,14,94,1,8
"50",1995,33,250,4,14,94,1,8
"51",2499,33,170,4,14,94,1,8
"52",2395,33,130,4,14,94,1,8
"53",2995,66,340,8,15,94,1,6
"54",2190,33,210,4,14,94,1,8
"55",2199,33,212,8,14,94,1,8
"56",2125,50,130,4,14,94,1,8
"57",2045,66,130,4,14,94,1,8
"58",3075,66,210,4,17,94,1,2
"59",2945,66,210,8,17,94,1,2
"60",1945,50,130,4,14,94,1,8
"61",3990,66,330,8,15,94,1,6
"62",1795,33,170,4,15,94,1,8
"63",2495,33,250,8,15,94,1,8
"64",2220,33,250,4,14,94,1,8
"65",2195,66,85,2,14,94,1,8
"66",1495,25,170,4,14,94,1,8
"67",2325,66,130,4,14,94,1,8
"68",1499,25,120,4,14,94,1,8
"69",2199,33,212,4,14,94,1,8
"70",3095,66,245,8,14,94,1,6
"71",4020,66,500,8,14,94,1,6
"72",2725,33,210,4,17,94,1,2
"73",1695,33,170,4,14,94,1,8
"74",3044,50,245,8,14,94,1,6
"75",2999,50,170,4,14,94,1,6
"76",2844,33,245,8,14,94,1,6
"77",1975,33,210,8,14,94,1,8
"78",3220,66,340,8,15,94,1,6
"79",2595,50,130,4,14,94,1,8
"80",1629,25,80,8,14,94,1,8
"81",3399,66,230,4,15,94,1,6
"82",2495,33,245,8,14,94,1,8
"83",2990,66,210,8,15,94,1,6
"84",2720,33,250,8,15,94,1,6
"85",2595,25,245,8,14,94,1,8
"86",1999,33,120,8,14,94,1,8
"87",2075,33,210,8,14,94,1,8
"88",1795,33,130,4,14,94,1,8
"89",1395,25,85,2,14,94,1,8
"90",3490,50,330,8,14,94,1,6
"91",2975,50,210,4,17,94,1,2
"92",2145,66,130,4,14,94,1,8
"93",2420,33,170,8,15,94,1,8
"94",2505,50,210,8,14,94,1,6
"95",2995,66,340,16,14,95,2,6
"96",1495,25,170,4,14,95,2,8
"97",1999,33,170,4,14,95,2,8
"98",1920,33,170,4,14,95,2,8
"99",2595,25,340,16,14,95,2,6
"100",1695,33,170,4,14,95,2,8
"101",1995,33,250,4,14,95,2,8
"102",2195,25,245,8,14,95,2,8
"103",1795,66,85,2,14,95,2,8
"104",2999,66,330,4,15,95,2,6
"105",1395,25,85,2,14,95,2,8
"106",2995,66,250,8,17,95,2,2
"107",2699,50,212,8,14,95,2,6
"108",1720,25,170,4,14,95,2,8
"109",2045,66,170,4,14,95,2,8
"110",2145,66,170,4,14,95,2,8
"111",2995,66,340,8,15,95,2,6
"112",2095,33,130,4,14,95,2,8
"113",3895,50,452,8,14,95,2,6
"114",2895,50,340,16,14,95,2,6
"115",1499,25,170,4,14,95,2,8
"116",3165,66,250,4,17,95,2,2
"117",2525,50,250,4,15,95,2,6
"118",2325,66,250,8,14,95,2,6
"119",2499,33,170,4,14,95,2,8
"120",2799,33,230,4,14,95,2,8
"121",1795,33,170,4,14,95,2,8
"122",2199,33,210,4,14,95,2,8
"123",2355,50,250,8,14,95,2,8
"124",3220,66,340,8,15,95,2,6
"125",2420,33,170,8,15,95,2,8
"126",2544,33,245,8,14,95,2,8
"127",2945,50,250,4,17,95,2,2
"128",2295,33,245,8,14,95,2,8
"129",1495,33,85,2,14,95,2,8
"130",2065,50,170,4,14,95,2,8
"131",2295,66,130,4,14,95,2,8
"132",1799,25,170,4,14,95,2,8
"133",2220,33,250,4,14,95,2,8
"134",2075,50,170,4,14,95,2,8
"135",1749,25,120,4,14,95,2,8
"136",2195,25,245,8,14,95,2,8
"137",2255,50,250,8,14,95,2,8
"138",2395,33,250,4,15,95,2,8
"139",2720,33,250,8,15,95,2,6
"140",2195,50,130,4,14,95,2,8
"141",2225,33,250,8,14,95,2,8
"142",4020,66,500,8,14,95,2,6
"143",2475,50,250,8,14,95,2,6
"144",1975,50,170,4,14,95,2,8
"145",3995,66,452,8,14,95,2,6
"146",2595,66,245,8,14,95,2,6
"147",2295,66,170,4,14,95,2,8
"148",2199,33,212,4,14,95,2,8
"149",1975,33,250,8,14,95,2,8
